Business Name,Category,Address,City,State,Postal Code,Phone,Website,Rating,Review Count,Latitude,Longitude
Sky Dental,Dentist,"111 Broadway Suite 1304, New York, NY 10006",New York,New York,10006,(212) 600-1996,https://skydentalnyc.com/?utm_campaign=gmb,4.9,2549,40.7086853,-74.0115487
Corson Dentistry,Dentist,"5307 E Yale Ave #1, Denver, CO 80222",Denver,Colorado,80222,(303) 952-8380,https://www.corsondentistry.com/denver-co/?utm_campaign=gmb&utm_medium=local&utm_source=google,4.9,2198,39.6677745,-104.9271825
Preferred Dental Care - Chelsea Dentist,Dentist,"135 W 27th St, New York, NY 10001",New York,New York,10001,(212) 594-7171,https://www.preferreddentalcare.com/locations/chelsea-ny-location,4.9,2189,40.7462879,-73.9924206
Nuvia Dental Implant Center,Dental implants provider,"7138 S Highland Dr Suite #211, Salt Lake City, UT 84121",Salt Lake City,Utah,84121,(385) 442-5768,https://www.nuviasmiles.com/locations/dental-implants-salt-lake-city-utah?o_source=Organic&o_medium=Website&o_campaign=GMB&o_term=SLC,4.9,1975,40.6216457,-111.8353395
209 NYC Dental,Dentist,"209 E 56th St 1st floor, New York, NY 10022",New York,New York,10022,(212) 355-2290,https://www.209nycdental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,1759,40.7594146,-73.9671025
Downtown Dental - Loop,Dentist,"25 E Washington St STE 1921, Chicago, IL 60602",Chicago,Illinois,60602,(773) 692-5401,https://www.downtown-dental.com/locations/loop/?utm_source=GMBlisting&utm_medium=organic,4.7,1358,41.883029,-87.6267138
Front Range Dental Center,Dentist,"2720 Council Tree Ave Suite 260, Fort Collins, CO 80525",Fort Collins,Colorado,80525,(970) 673-7321,http://www.frontrangedentalcenter.com/,4.9,1348,40.5257936,-105.0252375
Wall Street Dental Spa - Financial District,Cosmetic dentist,"30 Wall St #720, New York, NY 10005",New York,New York,10005,(212) 514-5514,https://wallstdentalspanyc.com/,4.9,1284,40.7069897,-74.0102726
NYU College of Dentistry,Dentist,"345 E 24th St, New York, NY 10010",New York,New York,10010,(212) 998-9800,http://dental.nyu.edu/,3.6,1167,40.7378213,-73.9784058
Chatham Dental Care,Dental clinic,"7931 S King Dr, Chicago, IL 60619",Chicago,Illinois,60619,(773) 994-1600,http://www.chathamdentalcare.net/,4.2,1023,41.7502232,-87.6146846
"Alpine Dental Health - S. Taft Hill Road, Fort Collins",Dentist,"950 S Taft Hill Rd, Fort Collins, CO 80521",Fort Collins,Colorado,80521,(970) 484-5297,https://alpinedentalhealth.com/location/fort-collins/?utm_source=google&utm_medium=gmb&utm_campaign=FortCollinsTaft,4.9,939,40.5749164,-105.1147191
Dental Group of Chicago Family & Emergency Dentistry,Dentist,"1556 S Michigan Ave APT 200, Chicago, IL 60605",Chicago,Illinois,60605,(872) 328-4304,https://dentalgroupofchicago.com/?utm_campaign=gmb&utm_medium=local&utm_source=google,4.7,786,41.8603983,-87.6242454
"The Chicago Dental Studio, River North",Dentist,"443 W Huron St, Chicago, IL 60654",Chicago,Illinois,60654,(312) 267-1917,https://thechicagodentalstudio.com/chicago-river-north/,4.9,709,41.8946131,-87.6402363
Homestead Dental,Dentist,"6990 S Holly Cir, Centennial, CO 80112",Centennial,Colorado,80112,(303) 224-9400,https://www.homesteaddentalco.com/,5,699,39.5890094,-104.9224313
Chicago Dental Dream Team,Dental implants periodontist,"820 E 87th St #201, Chicago, IL 60619",Chicago,Illinois,60619,(773) 488-3738,http://www.dentaldreamteam.com/,4.9,696,41.7369797,-87.6039206
Midtown Dental Group Fashion District,Dentist,"241 W 37th St Ground Floor, New York, NY 10018",New York,New York,10018,(212) 730-4440,http://www.midtowndentalgroup.com/,4.9,688,40.7538706,-73.9909457
Cherry Creek Dental Group,Dentist,"425 S Cherry St #700, Glendale, CO 80246",Glendale,Colorado,80246,(303) 322-8600,https://stanbrick.com/location/cherry-creek-dental-group/,4.8,666,39.7090195,-104.9338793
Winter Dental,Dentist,"8605 Ralston Rd, Arvada, CO 80002",Arvada,Colorado,80002,(303) 424-4567,https://www.winterfamilydental.com/?utm_source=google&utm_medium=gbp&utm_campaign=google_business,5,656,39.8022445,-105.0937344
DentArt Chicago,Dentist,"2016 S Michigan Ave, Chicago, IL 60616",Chicago,Illinois,60616,(312) 854-2359,https://www.dentartchicago.com/,4.9,620,41.854927,-87.6240615
Studio Smiles NYC,Dentist,"41 Park Ave # 1C, New York, NY 10016",New York,New York,10016,(646) 470-1376,http://www.studiosmilesnyc.com/,4.9,587,40.748366,-73.9799504
Shoreline Dental Chicago,Dentist,"737 N Michigan Ave Suite 910, Chicago, IL 60611",Chicago,Illinois,60611,(312) 266-9487,https://www.shorelinedentalchicago.com/,5,583,41.8964042,-87.623352
West Loop Smile Studio,Dentist,"955 W Monroe St, Chicago, IL 60607",Chicago,Illinois,60607,(312) 248-7416,https://smilestudiochicago.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,4.9,581,41.8802929,-87.6518927
Rod Gleave DMD,Cosmetic dentist,"622 E 4500 S, Salt Lake City, UT 84107",Salt Lake City,Utah,84107,(801) 262-0744,https://slcsmiles.com/,4.8,560,40.6739349,-111.8740081
Chicago Style Smiles,Cosmetic dentist,"30 N Michigan Ave #1506, Chicago, IL 60602",Chicago,Illinois,60602,(312) 372-4845,https://chicagostylesmiles.com/,5,558,41.88299,-87.625
Midtown Dental Care Associates,Dentist,"12 E 41st St suite 1100, New York, NY 10017",New York,New York,10017,(212) 685-4730,https://www.midtowndentalcareassociates.com/?utm_source=gmb&utm_medium=organic,4.9,558,40.752382,-73.980661
Smile Dental Studio,Dental clinic,"92 Chambers St, New York, NY 10007",New York,New York,10007,(646) 883-2086,https://smiledentalstudio.nyc/,4.9,554,40.7145253,-74.0074997
Platinum Dental of South Jordan - Cornerstone,Dentist,"10458 S Redwood Rd, South Jordan, UT 84095",South Jordan,Utah,84095,(801) 312-8085,https://smilesouthjordan.com/,4.8,544,40.561307,-111.9396487
Midvale Family Dental | Dr. Ryan S. McNeil,Dentist,"6895 S 900 E St suite b, Midvale, UT 84047",Midvale,Utah,84047,(801) 255-4555,https://midvalefamilydental.com/,4.9,534,40.6260395,-111.8653923
Chicago Dental Boutique,Dentist,"333 E Benton Pl #202, Chicago, IL 60601",Chicago,Illinois,60601,(312) 868-0301,https://www.chicagodentalboutique.com/?utm_campaign=gmb&utm_medium=local&utm_source=google,4.9,520,41.8851933,-87.6184652
"The Chicago Dental Studio, West Loop",Dentist,"207 S Halsted St, Chicago, IL 60661",Chicago,Illinois,60661,(312) 414-0696,https://thechicagodentalstudio.com/chicago-west-loop/,4.8,490,41.8789064,-87.647029
Maiden Lane Dental - Financial District NYC,Dentist,"80 Maiden Ln #702, New York, NY 10038",New York,New York,10038,(212) 509-4585,https://maidenlanedental.com/,4.9,484,40.7071307,-74.0077735
My NYC Dentist - 34th Street Dental,Dentist,"225 W 35th St # 2, New York, NY 10001",New York,New York,10001,(212) 564-8164,http://www.mynyc-dentist.com/,4.8,483,40.7522776,-73.991056
Chicago Dental 312,Dentist,"25 E Washington St # 1211, Chicago, IL 60602",Chicago,Illinois,60602,(312) 263-5090,http://www.chicagodental312.com/,4.9,479,41.8829141,-87.6264663
Pearl Dental NYC,Cosmetic dentist,"233 Broadway 18 Suite 1801, New York, NY 10279",New York,New York,10279,(212) 344-9317,https://www.pearldentalnyc.com/,5,467,40.7123834,-74.0079386
Making You Smile Cosmetic Dentist Studio NYC: Dr. Ziad Jalbout DDS,Dentist,"36 E 36th St #1D, New York, NY 10016",New York,New York,10016,(646) 846-4645,https://makingyousmile.nyc/?utm_source=GMB&utm_medium=WebsiteURL,4.9,463,40.7485586,-73.9811998
Midtown Dental,Dentist,"1800 Vine St, Denver, CO 80206",Denver,Colorado,80206,(720) 780-9321,https://www.midtowndentaldenver.com/,4.8,456,39.7450549,-104.9618032
New York Dental Office,Dentist,"245 E 63rd St #110, New York, NY 10065",New York,New York,10065,(212) 548-3261,https://www.newyorkdentaloffice.com/,4.9,443,40.7633351,-73.9627181
Village Dental NYC,Dentist,"77 E 12th St, New York, NY 10003",New York,New York,10003,(332) 230-4916,https://villagedentalnyc.com/,4.8,426,40.7330427,-73.9902582
ORAL Dental Studio NYC,Dentist,"131 Essex St Floor 2, New York, NY 10002",New York,New York,10002,(646) 798-9627,https://oraldentalstudio.com/,5,401,40.7200496,-73.9876236
Edgewater Modern Dentistry,Dentist,"1921 Sheridan Blvd Ste F, Edgewater, CO 80214",Edgewater,Colorado,80214,(303) 202-3550,https://www.edgewatermoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A537%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjg4MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,391,39.74735,-105.053691
