Business Name,Category,Address,City,State,Postal Code,Phone,Website,Rating,Review Count,Latitude,Longitude
"Baker Brothers Plumbing, Air & Electric",Plumber,"2615 Big Town Blvd, Mesquite, TX 75150",Mesquite,Texas,75150,(214) 324-8811,https://bakerbrothersplumbing.com/?utm_campaign=gmb_bk-msq_home_everyone_gmb-mesquite&utm_medium=gmb&utm_source=google,4.8,24394,32.8004991,-96.6688938
"Abacus Plumbing, Air Conditioning, & Electrical",Plumber,"4001 Kendrick Plaza Dr, Houston, TX 77032",Houston,Texas,77032,(713) 812-7070,https://www.abacusplumbing.net/?utm_campaign=gmb_ab-hou_home_everyone_gmb-houston&utm_medium=gmb&utm_source=google,4.7,11737,29.9421473,-95.3293103
"Village Plumbing, Air & Electric",Plumber,"10644 W Little York Rd Suite 200, Houston, TX 77041",Houston,Texas,77041,(281) 607-5357,https://villageplumbing.com/?utm_source=google&utm_medium=gmb&utm_campaign=Google%20Business%20Profile,4.8,9334,29.8677916,-95.5618629
Nick's Plumbing & Air Conditioning,Plumber,"3780 Yale St, Houston, TX 77018",Houston,Texas,77018,(281) 406-3336,https://www.nicksplumbing.com/?utm_source=organic&utm_medium=gbp&utm_campaign=local,4.7,3946,29.8200218,-95.3989549
Roto-Rooter Plumbing & Water Cleanup,Plumber,"3403 North Sam Houston Pkwy W #400, Houston, TX 77086",Houston,Texas,77086,(713) 470-0080,https://www.rotorooter.com/houston/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,4.8,3574,29.9366263,-95.4737672
Texas Quality Plumbing,Plumber,"10814 Woodedge Dr, Houston, TX 77070",Houston,Texas,77070,(713) 385-0349,https://www.texasqualityplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=local+listings,4.8,3530,29.9448859,-95.5819948
The Mink Plumbing,Plumber,"5573 County Rd 219, Tyler, TX 75707",Tyler,Texas,75707,(903) 289-5390,https://minkplumbing.com/?utm_source=google&utm_medium=gbp,4.9,1556,32.3270834,-95.2433383
A-1 Total Service Plumbing,Plumber,"640 S Atlantic Blvd, Los Angeles, CA 90022",Los Angeles,California,90022,(323) 643-2844,https://a-1totalserviceplumbing.com/,4.9,1494,34.0236504,-118.155811
Beluga Air,HVAC contractor,"240 Sherwood Dr, San Antonio, TX 78201",San Antonio,Texas,78201,(210) 468-5977,http://www.mybelugaair.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,1344,29.4830583,-98.5323225
Panther Plumbing,Plumber,"5701 Mableton Pkwy SW Suite 212, Mableton, GA 30126",Mableton,Georgia,30126,(678) 968-2425,https://www.pantherplumbing.com/,4.9,1314,33.8150899,-84.5724366
AAA AUGER Plumbing Services,Plumber,"2437 E Union Bower Rd, Irving, TX 75061",Irving,Texas,75061,(972) 222-2843,https://www.aaa-auger.com/,4.8,1246,32.8243696,-96.908378
Roto-Rooter Plumbing & Water Cleanup,Plumber,"554 S San Vicente Blvd Ste 208, Los Angeles, CA 90048",Los Angeles,California,90048,(661) 219-2959,https://www.rotorooter.com/losangeles/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,4.8,940,34.0673511,-118.3736342
"Milestone Electric, A/C, & Plumbing",Plumber,"401 W Interstate 30, Garland, TX 75043",Garland,Texas,75043,(972) 301-2994,https://callmilestone.com/garland/plumbing/,4.9,852,32.8423166,-96.5922637
ABC Plumbing,Plumber,"5616 Main St, Watauga, TX 76148",Watauga,Texas,76148,(817) 427-3222,https://www.abcplumbingtx.com/,4.9,841,32.8576687,-97.2629961
bluefrog Plumbing and Drain of West Houston,Plumber,"10645 Richmond Ave. Ste 140, Houston, TX 77042",Houston,Texas,77042,(832) 263-3583,https://www.bluefrogplumbingwesthouston.com/,4.9,793,29.7265265,-95.561974
"West Plumbing, Inc.",Plumber,"104 Constitution Dr STE A, Warner Robins, GA 31088",Warner Robins,Georgia,31088,(478) 953-9378,https://westplumbing.com/,4.8,793,32.6116713,-83.6818649
Roadrunner Plumbing & Air,Plumber,"4706 College Park, San Antonio, TX 78249",San Antonio,Texas,78249,(210) 763-2721,https://www.callroadrunnerplumbing.com/,4.9,631,29.5857681,-98.5781464
YB Plumbing & Hydro Jetting Services,Plumber,"7613 Claridge Dr, Houston, TX 77071",Houston,Texas,77071,(713) 766-6663,https://ybplumbing.com/,4.6,618,29.6611288,-95.5103895
Reliant Plumbing - San Antonio,Plumber,"1119 Fresno St, San Antonio, TX 78201",San Antonio,Texas,78201,(210) 468-8020,https://reliantplumbing.com/recent-projects-san-antonio-area/?utm_source=google&utm_medium=organic&utm_campaign=gmb_profile_clicks&utm_content=website_link,4.8,544,29.4745249,-98.5121406
1-Tom-Plumber,Plumber,"3635 Willowbend Blvd # 318, Houston, TX 77054",Houston,Texas,77054,(832) 406-4711,https://www.1tomplumber.com/houston/,4.9,541,29.6629118,-95.4373418
Halo Plumbing Services,Plumber,"1654 Oak Tree Dr, Houston, TX 77080",Houston,Texas,77080,(346) 642-5698,https://haloplumbingtx.com/,4.8,521,29.8026276,-95.5261547
Cooper Plumbing | Houston Plumber,Plumber,"10825 Barely Ln, Houston, TX 77070",Houston,Texas,77070,(832) 441-9683,https://www.cooperplumbinghouston.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,4.9,504,29.9410686,-95.5828155
