Business Name,Category,Address,City,State,Postal Code,Phone,Website,Rating,Review Count,Latitude,Longitude
"Baker Brothers Plumbing, Air & Electric",Plumber,"2615 Big Town Blvd, Mesquite, TX 75150",Mesquite,Texas,75150,(214) 324-8811,https://bakerbrothersplumbing.com/?utm_campaign=gmb_bk-msq_home_everyone_gmb-mesquite&utm_medium=gmb&utm_source=google,4.8,24394,32.8004991,-96.6688938
"Abacus Plumbing, Air Conditioning, & Electrical",Plumber,"4001 Kendrick Plaza Dr, Houston, TX 77032",Houston,Texas,77032,(713) 812-7070,https://www.abacusplumbing.net/?utm_campaign=gmb_ab-hou_home_everyone_gmb-houston&utm_medium=gmb&utm_source=google,4.7,11737,29.9421473,-95.3293103
"Village Plumbing, Air & Electric",Plumber,"10644 W Little York Rd Suite 200, Houston, TX 77041",Houston,Texas,77041,(281) 607-5357,https://villageplumbing.com/?utm_source=google&utm_medium=gmb&utm_campaign=Google%20Business%20Profile,4.8,9334,29.8677916,-95.5618629
Nick's Plumbing & Air Conditioning,Plumber,"3780 Yale St, Houston, TX 77018",Houston,Texas,77018,(281) 406-3336,https://www.nicksplumbing.com/?utm_source=organic&utm_medium=gbp&utm_campaign=local,4.7,3946,29.8200218,-95.3989549
Roto-Rooter Plumbing & Water Cleanup,Plumber,"3403 North Sam Houston Pkwy W #400, Houston, TX 77086",Houston,Texas,77086,(713) 470-0080,https://www.rotorooter.com/houston/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,4.8,3574,29.9366263,-95.4737672
Texas Quality Plumbing,Plumber,"10814 Woodedge Dr, Houston, TX 77070",Houston,Texas,77070,(713) 385-0349,https://www.texasqualityplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=local+listings,4.8,3530,29.9448859,-95.5819948
The Mink Plumbing,Plumber,"5573 County Rd 219, Tyler, TX 75707",Tyler,Texas,75707,(903) 289-5390,https://minkplumbing.com/?utm_source=google&utm_medium=gbp,4.9,1556,32.3270834,-95.2433383
A-1 Total Service Plumbing,Plumber,"640 S Atlantic Blvd, Los Angeles, CA 90022",Los Angeles,California,90022,(323) 643-2844,https://a-1totalserviceplumbing.com/,4.9,1494,34.0236504,-118.155811
Beluga Air,HVAC contractor,"240 Sherwood Dr, San Antonio, TX 78201",San Antonio,Texas,78201,(210) 468-5977,http://www.mybelugaair.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,1344,29.4830583,-98.5323225
Panther Plumbing,Plumber,"5701 Mableton Pkwy SW Suite 212, Mableton, GA 30126",Mableton,Georgia,30126,(678) 968-2425,https://www.pantherplumbing.com/,4.9,1314,33.8150899,-84.5724366
